"filename", "language", "Markdown", "PHP", "XML", "JSON", "MS SQL", "Properties", "JavaScript", "HTML", "Docker", "CSS", "Ini", "YAML", "comment", "blank", "total"
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap-grid.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3886, 0, 0, -6, -193, -4085
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -5, 0, -6
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3886, 0, 0, -6, -192, -4084
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -5, 0, -6
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -518, 0, 0, -14, -65, -597
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -5, 0, -6
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -524, 0, 0, -6, -64, -594
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -5, 0, -6
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap-utilities.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -4891, 0, 0, -8, -503, -5402
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap-utilities.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -5, 0, -6
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -4887, 0, 0, -6, -500, -5393
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -5, 0, -6
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -11136, 0, 0, -24, -897, -12057
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, -4, 0, -6
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap.rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -11138, 0, 0, -6, -886, -12030
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap-5.3.3-dist/css/bootstrap.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, -4, 0, -6
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap-grid.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3865, 0, 0, -7, -1130, -5002
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -6, 0, -7
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3865, 0, 0, -7, -1129, -5001
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -6, 0, -7
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -346, 0, 0, -16, -64, -426
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -7, 0, -8
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -352, 0, 0, -8, -63, -423
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -7, 0, -8
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap-utilities.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3634, 0, 0, -9, -1109, -4752
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap-utilities.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -6, 0, -7
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3630, 0, 0, -7, -1106, -4743
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -6, 0, -7
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -9102, 0, 0, -27, -1708, -10837
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, -5, 0, -7
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap.rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -9104, 0, 0, -7, -1702, -10813
"/home/ser/Projects/Docker/site2/public/http/media/css/bootstrap/bootstrap.rtl.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, -5, 0, -7
"/home/ser/Projects/Docker/site2/public/http/media/css/category.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, -3, -28
"/home/ser/Projects/Docker/site2/public/http/media/css/home.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -12, -10, -49
"/home/ser/Projects/Docker/site2/public/http/media/css/main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -73, 0, 0, -13, -24, -110
"/home/ser/Projects/Docker/site2/public/http/media/html/article-with-img-1080.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -319, 0, 0, 0, 0, -22, -16, -357
"/home/ser/Projects/Docker/site2/public/http/media/html/category.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -437, 0, 0, 0, 0, -40, -28, -505
"/home/ser/Projects/Docker/site2/public/http/media/html/errors/not-found-404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -37, 0, 0, 0, 0, -8, -10, -55
"/home/ser/Projects/Docker/site2/public/http/media/html/errors/server-error-500.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -147, 0, 0, 0, 0, -1, -15, -163
"/home/ser/Projects/Docker/site2/public/http/media/html/errors/server-error-502.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -147, 0, 0, 0, 0, -1, -15, -163
"/home/ser/Projects/Docker/site2/public/http/media/html/footer-copyrights.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, 0, 0, -4, -7, -45
"/home/ser/Projects/Docker/site2/public/http/media/html/footer-infoline.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -55, 0, 0, 0, 0, -6, -8, -69
"/home/ser/Projects/Docker/site2/public/http/media/html/footer-links.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -76, 0, 0, 0, 0, -5, -9, -90
"/home/ser/Projects/Docker/site2/public/http/media/html/footer-policy.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, 0, 0, -6, -7, -52
"/home/ser/Projects/Docker/site2/public/http/media/html/footer-social-links.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -37, 0, 0, 0, 0, -6, -9, -52
"/home/ser/Projects/Docker/site2/public/http/media/html/header-breadcrumbs.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, -4, -9, -48
"/home/ser/Projects/Docker/site2/public/http/media/html/header-infoline.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, 0, 0, -2, -7, -48
"/home/ser/Projects/Docker/site2/public/http/media/html/header-logo.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -55, 0, 0, 0, 0, -6, -9, -70
"/home/ser/Projects/Docker/site2/public/http/media/html/header-nav.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -131, 0, 0, 0, 0, -8, -10, -149
"/home/ser/Projects/Docker/site2/public/http/media/html/home.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -452, 0, 0, 0, 0, -41, -19, -512
"/home/ser/Projects/Docker/site2/public/http/media/html/proto.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -52, 0, 0, 0, 0, -2, -6, -60
"/home/ser/Projects/Docker/site2/public/http/media/html/skeleton.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -58, 0, 0, 0, 0, -26, -21, -105
"/home/ser/Projects/Docker/site2/public/http/media/js/admin/userinfo.js", "JavaScript", 0, 0, 0, 0, 0, 0, -42, 0, 0, 0, 0, 0, -1, -10, -53
"/home/ser/Projects/Docker/site2/public/http/media/js/bootstrap-5.3.3-dist/js/bootstrap.bundle.js", "JavaScript", 0, 0, 0, 0, 0, 0, -5064, 0, 0, 0, 0, 0, -655, -596, -6315
"/home/ser/Projects/Docker/site2/public/http/media/js/bootstrap-5.3.3-dist/js/bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -6, 0, -7
"/home/ser/Projects/Docker/site2/public/http/media/js/bootstrap-5.3.3-dist/js/bootstrap.esm.js", "JavaScript", 0, 0, 0, 0, 0, 0, -3568, 0, 0, 0, 0, 0, -578, -302, -4448
